ID P.F,NOMBRE FANTASIA,PROV,DEP,SEGMENTO,SUBSEGMENTACION,STOCK ROLLO,STOCK RESMA,STOCK SUBE,STOCK PRISMA
11849413,OPTICA CURUZU I,CORRIENTES,1,4.C,4,"3,896","0,000","0,000","4,000"
11849414,OPTICA CURUZU II SUCURSAL CAA CATI,CORRIENTES,1,5.D,6,"0,000","0,000","0,000","1,000"
6549081,OPTICA IMAGEN,JUJUY,1,N,2,"-0,002","-0,010","0,000","-0,001"
6549080,OPTICA IMAGEN LQ,JUJUY,1,N,2,"-0,001","-0,010","0,000","0,000"
12449768,ORANGE,SANTIAGO DEL ESTERO,1,5.D,6,"1,376","0,000","0,000","0,000"
12749569,ORBIS CAMPANA,BUENOS AIRES,1,5.D,6,"3,469","0,000","0,000","11,986"
12749009,ORCU CREDITOS SERVICIOS FINANCIEROS,ENTRE RIOS,1,3.B,4,"4,435","0,000","0,000","2,668"
8149525,ORG DAMBROSIO PUERTO MADRYN,CHUBUT,1,2.A,3,"0,766","0,000","0,000","0,000"
12749515,ORG. DAMBROSIO,CHUBUT,1,4.C,4,"4,022","0,000","0,000","2,000"
8149738,ORG. DAMBROSIO COMODORO RIVADAVIA,CHUBUT,1,N,2,"0,000","0,000","0,000","0,000"
12749540,ORG. LOBILLO Y ASOCIADOS 9 DE JULIO,SAN JUAN,1,5.D,6,"-0,164","0,000","0,000","3,866"
12749531,ORG. LOBILLO Y ASOCIADOS CAUCETE,SAN JUAN,1,4.C,4,"2,499","0,000","0,000","1,840"
12749532,ORG. LOBILLO Y ASOCIADOS RAWSON,SAN JUAN,1,4.C,4,"2,292","0,000","0,000","2,510"
8149411,ORG.DELFINO-LOC ROSARIO DEL TALA,ENTRE RIOS,1,4.C,4,"-0,157","0,000","0,000","2,869"
8149412,ORG.DELFINO-LOCAL BASAVILBASO,ENTRE RIOS,1,4.C,4,"0,743","0,000","0,000","3,000"
8149685,ORGANIZACION AIASSA,ENTRE RIOS,1,4.C,4,"2,087","0,000","0,000","5,000"
8149450,ORGANIZACION ANGELI,CAPITAL FEDERAL,1,N,2,"0,478","0,000","0,000","0,000"
10349151,ORGANIZACION AP,BUENOS AIRES,1,N,2,"0,000","0,000","0,000","0,000"
8149428,ORGANIZACION BLASON,ENTRE RIOS,1,5.D,6,"0,000","0,000","0,000","0,000"
8149717,ORGANIZACION BOSCHETTI,CORRIENTES,1,4.C,4,"0,619","0,000","0,000","0,000"
8149897,ORGANIZACION BUSIN,NEUQUEN,1,5.D,6,"0,000","0,000","0,000","0,000"
8149559,ORGANIZACION CANDA,BUENOS AIRES,1,N,2,"0,000","0,000","0,000","0,000"
13049745,ORGANIZACION CASTRO,LA PAMPA,1,N,2,"0,000","0,000","0,000","0,000"
8149532,ORGANIZACION CHIALVO,SANTA FE,1,N,2,"0,000","0,000","0,000","0,000"
12749027,ORGANIZACION COLAVECCHIO SEGUROS,BUENOS AIRES,1,2.A,3,"2,000","0,626","0,000","5,000"
8149590,ORGANIZACION COMODORO,CHUBUT,1,5.D,6,"3,190","0,000","0,000","2,963"
8149495,ORGANIZACION CORDOBA,CORDOBA,1,N,2,"0,143","0,000","0,000","0,000"
8149496,ORGANIZACION CORDOBA I,CORDOBA,1,N,2,"1,018","0,000","0,000","0,000"
8149582,ORGANIZACION COSENZA,SANTA FE,1,4.C,4,"1,789","0,864","0,000","4,000"
8149783,ORGANIZACION DAMBROSIO ESQUEL,CHUBUT,1,5.D,6,"0,490","0,000","0,000","0,000"
8149481,ORGANIZACION DE SEGUROS,MENDOZA,1,4.C,4,"-0,422","0,490","0,000","3,856"
8149484,ORGANIZACION DE SEGUROS CERRI ANTUNA,SAN JUAN,1,5.D,6,"0,669","0,000","0,000","0,000"
8149464,ORGANIZACION DE SEGUROS SAN JOSE,MISIONES,1,2.A,3,"2,749","1,070","0,000","4,560"
12749122,ORGANIZACION DELFINO MACIA,ENTRE RIOS,1,N,2,"0,663","0,480","0,000","0,000"
8149565,ORGANIZACION DIAZ,CHACO,1,4.C,4,"0,929","0,000","0,000","0,000"
8149692,ORGANIZACION DOMANICO BELLA VISTA,BUENOS AIRES,1,N,2,"0,753","0,000","0,000","0,000"
8149691,ORGANIZACION DOMANICO MORENO,BUENOS AIRES,1,N,2,"0,907","0,000","0,000","0,000"
8149690,ORGANIZACION DOMANICO RAMOS MEJIA,BUENOS AIRES,1,N,2,"0,000","1,000","0,000","0,000"
